id,latitude,longitude,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,Private_room,Entire_home/apt
409,40.76035,-73.99679,30,0,0.0,232,330,0,1
410,40.7281,-73.99067,2,3,0.08,1,0,0,1
411,40.68291,-73.94613000000003,3,44,0.71,5,363,0,1
412,40.7128,-73.9396,2,4,1.85,1,169,1,0
413,40.66081,-73.94963,2,84,2.39,1,211,0,1
414,40.7774,-73.96066,1,0,0.0,1,0,0,1
415,40.75366,-73.9311,1,0,0.0,5,359,1,0
416,40.75979,-73.96444,1,36,1.64,1,354,0,1
417,40.73623,-74.00036,1,1,0.02,1,0,0,1
418,40.65217,-73.95974,2,7,0.4,1,0,1,0
419,40.66972,-73.97954,4,111,1.9,1,9,0,1
420,40.68116,-73.96559,3,61,0.76,1,0,0,1
421,40.74896,-73.97471999999998,2,5,0.91,327,111,0,1
422,40.73756,-73.99110999999998,4,5,0.18,1,0,0,1
423,40.81572,-73.84591999999998,2,0,0.0,7,177,1,0
424,40.78793,-73.97261,2,10,1.22,1,0,0,1
425,40.80778,-73.94762,120,0,0.0,1,365,0,1
426,40.69271,-73.89519,3,7,2.0,1,120,0,1
427,40.68971,-73.96073,1,0,0.0,6,345,0,0
428,40.71825,-73.99019,4,1,1.0,1,13,0,1
429,40.67858,-73.93713000000002,2,69,1.81,3,11,1,0
430,40.66024,-73.95518,4,26,1.18,1,145,0,1
431,40.7637,-73.9238,7,0,0.0,1,0,1,0
432,40.76125,-73.91008000000002,1,0,0.0,1,0,1,0
433,40.67024,-73.99351,3,13,0.56,1,346,0,1
434,40.68087,-73.92061,3,3,2.31,2,322,1,0
435,40.87663,-73.91041,1,2,0.05,1,0,1,0
436,40.67356,-73.9321,2,101,3.4,4,329,1,0
437,40.72186,-73.94588,2,8,0.31,1,0,0,1
438,40.74896,-73.98277,30,8,0.31,14,203,0,1
439,40.69413,-73.9723,2,94,2.85,2,361,0,1
440,40.69558,-73.92578,90,0,0.0,1,90,1,0
441,40.69807,-73.93466,1,0,0.0,1,14,1,0
442,40.67419,-73.96423,3,4,0.13,1,0,1,0
443,40.7298,-73.9791,3,86,1.88,1,62,1,0
444,40.64712,-73.99646,5,2,0.19,1,214,1,0
445,40.72335,-73.99138,1,0,0.0,1,358,1,0
446,40.77737,-73.98355,7,8,0.16,1,38,0,1
447,40.68637,-73.9417,2,43,0.65,1,220,0,1
448,40.77979000000001,-73.96153000000002,1,0,0.0,1,0,0,1
449,40.66594,-73.98814,2,10,0.22,1,0,0,1
450,40795.0,-73.97479,12,1,0.07,1,0,1,0
451,40.75965,-73.98581999999998,30,0,0.0,232,251,0,1
452,40.71374,-73.9627,3,27,0.55,1,193,0,1
453,40.76374000000001,-73.99422,1,66,1.75,2,289,1,0
454,40.78809,-73.94319,7,3,0.14,1,0,0,1
455,40.69061,-73.91348,30,0,0.0,1,5,1,0
456,40.75671,-73.99694000000002,1,20,2.49,30,359,1,0
457,40.85504,-73.88394,1,4,0.52,1,0,1,0
458,40.81024,-73.94154,4,41,0.52,2,119,1,0
459,40.64372,-73.90361,2,12,0.26,1,180,1,0
460,40.69814,-73.9219,2,1,0.43,1,0,1,0
461,40.79751,-73.96168,3,176,3.39,3,253,1,0
